Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66045a89b0d4d3521e355cc0,5ffd392153021d20d0939515,APPROVED,Not Applicable,2024-03-27T17:42:46.260000Z,2024-03-27T17:50:41.935000Z,2024-03-28T16:05:20.561000Z,2024-03-27T17:50:44.105423Z,476,C1NU7187,2574,English,35,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66045a8b2c0f1242f1af9c52,65579a461be67cd550bfd63d,APPROVED,Not Applicable,2024-03-27T17:42:49.089000Z,2024-03-27T17:49:19.086000Z,2024-03-28T17:15:35.918000Z,2024-03-27T17:49:22.474482Z,390,C1NU7187,119,English,54,Male,White,United States,United States,United States,English,No,Full-Time
66045a9744b55fea539befbb,6571e4f4cfa8086f608fabf3,APPROVED,Not Applicable,2024-03-27T17:42:52.466000Z,2024-03-27T17:45:45.118000Z,2024-03-28T16:02:59.059000Z,2024-03-27T17:45:47.024179Z,173,C1NU7187,871,English,23,Female,White,United States,United States,United States,English,No,Full-Time
66045a97be8f618618dfa909,5d32058c1f845b0016baaa65,APPROVED,Not Applicable,2024-03-27T17:42:56.763000Z,2024-03-27T17:53:53.500000Z,2024-03-28T17:14:11.910000Z,2024-03-27T17:53:55.231321Z,657,C1NU7187,4487,English,60,Male,Black,United States,United States,United States,English,No,Part-Time
66045aac57205092c6d022fd,5de53996227eed0b8dd9c44d,APPROVED,Not Applicable,2024-03-27T17:45:35.173000Z,2024-03-27T17:52:19.254000Z,2024-03-28T17:07:47.761000Z,2024-03-27T17:52:20.428526Z,405,C1NU7187,1922,English,35,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66045aae62a52a5233d8e634,5dbb9407e0a6e81863526af7,APPROVED,Not Applicable,2024-03-27T17:48:24.288000Z,2024-03-27T18:17:13.714000Z,2024-03-28T16:05:21.121000Z,2024-03-27T18:17:15.815249Z,1730,C1NU7187,4283,English,37,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66045ab4c62efe106302b3c1,646fea6f93d07b0354140441,APPROVED,Not Applicable,2024-03-27T17:44:42.373000Z,2024-03-27T18:08:42.966000Z,2024-03-28T16:02:48.502000Z,2024-03-27T18:08:44.045790Z,1441,C1NU7187,2333,English,66,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66045ab71796f22756d32e4c,66017f16bc0602277f8b2bc4,APPROVED,Not Applicable,2024-03-27T17:43:30.579000Z,2024-03-27T17:48:03.853000Z,2024-03-28T16:04:36.791000Z,2024-03-27T17:48:59.881313Z,274,C1NU7187,62,English,30,Male,White,United States,United States,United States,English,No,Full-Time
66045abbbc4abb08c26e3650,60c25b6289c6ae2b40bcf2cb,APPROVED,Not Applicable,2024-03-27T17:44:05.313000Z,2024-03-27T17:50:46.075000Z,2024-03-28T16:04:37.176000Z,2024-03-27T17:50:47.470394Z,401,C1NU7187,3203,English,32,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66045abc5426924880c798d5,5d3df9b23bf3780015abf56f,APPROVED,Not Applicable,2024-03-27T17:43:29.846000Z,2024-03-27T17:52:16.594000Z,2024-03-28T17:16:48.629000Z,2024-03-27T18:53:26.384162Z,527,C1NU7187,1779,English,28,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66045acabc1fa888c03b315e,62dd5f891a6f2eecfbb147c8,APPROVED,Not Applicable,2024-03-27T17:43:49.929000Z,2024-03-27T17:59:08.875000Z,2024-03-28T16:05:21.833000Z,2024-03-27T17:59:53.461092Z,919,C1NU7187,1011,English,37,Male,White,United States,United States,United States,English,No,Part-Time
66045acca9372de030c3068b,653d24b26d450d5f684b5011,APPROVED,Not Applicable,2024-03-27T17:43:49.146000Z,2024-03-27T17:51:21.173000Z,2024-03-28T15:57:57.648000Z,2024-03-27T17:51:23.184942Z,453,C1NU7187,1079,English,76,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
